Title,Authors,Periodical-Title,Pub-Year,PMID
One-Year Outcomes From the CLASPIID Randomized Trial for Degenerative Mitral Regurgitation,"Zahr, Firas; Smith, Robert L.; Gillam, Linda D.; Chadderdon, Scott; Makkar, Raj; von Bardeleben, Ralph Stephan; Ruf, Tobias Friedrich; Kipperman, Robert M.; Rassi, Andrew N.; Szerlip, Molly; Goldman, Scott; Inglessis-Azuaje, Ignacio; Yadav, Pradeep; Lurz, Philipp; Davidson, Charles J.; Mumtaz, Mubashir; Gada, Hemal; Kar, Saibal; Kodali, Susheel K.; Laham, Roger; Hiesinger, William; Fam, Neil P.; KeSSler, Mirjam; O'Neill, William, W.; Whisenant, Brian; Kliger, Chad; Kapadia, Samir; Rudolph, Volker; Choo, Joseph; Hermiller, James; Morse, Michael A.; Schofer, Niklas; Gafoor, Sameer; Latib, Azeem; Mahoney, Paul; Kaneko, Tsuyoshi; Shah, Pinak B.; Riddick, John A.; Muhammad, Kamran I.; Boekstegers, Peter; Price, Matthew J.; Praz, Fabien; Koulogiannis, Konstantinos; Marcoff, Leo; Hausleiter, Jorg; Lim, D. S.; CLASP IID Pivotal, Trial Investigators",JACC-Cardiovascular Interventions,2023,
"PROSTATE SPECIFIC MEMBRANE ANTIGEN POSITRON EMISSION TOMOGRAPHY FOR PATIENTS WITH RECURRENT PROSTATE CANCER (PREP) - A PROSPECTIVE, MULTICENTRE REGISTRY","Dhar, Aneesh; Bauman, Glenn; Mendez, Lucas; Kulkarni, Girish; Finelli, Antonio; Berlin, Alejandro; Chung, Peter; Bayley, Andrew; Chung, Hans; Klotz, Laurence; Wolfson, Robert; Lukka, Himu; Zukotynski, Katherine; Kapoor, Anil; Shayegan, Bobby; Chin, Joseph; Hildebrand, Catherine; Rachinsky, Irina; Leung, Eugene; Lavallee, Luke; Morash, Chris; Tiberi, David; Hagerty, Marlon; Ramchandar, Kevin; Boekhoud, Jonathan; Shahrour, Walid; Langer, Deanna; MacCrostie, Pamela; Mak, Victor; Metser, Ur",Radiotherapy And Oncology,2023,
Recognizing and addressing atypical growth,"Casey, Linda; Fenton, Tanis R.",Paediatrics & Child Health,2023,
Reinforcement learning framework for UAV-based target localization applications,"Shurrab, Mohammed; Mizouni, Rabeb; Singh, Shakti; Otrok, Hadi",Internet Of Things,2023,
The impact of cortical stimulation on the surgical decision depending on electrographic patterns,"Kreinter, H.; Paredes, E.; Burneo, J.; Mirsattari, S.; Jones, M.; Steven, D.; Lau, J.; Diosy, D.; MacDougall, K.; Suller-Marti, A.",Epilepsia,2023,
Using acoustic feedback and analyses for removal of bone cement during revision knee replacement surgeries,"Zakeri, V.; Demsey, D.; Greidanus, N.; Hodgson, A. J.",International Journal Of Computer Assisted Radiology And Surgery,2023,
"Assessing knowledge, attitudes and belief toward HPV vaccination of parents with children aged 9-14 years in rural communities of Northwest Cameroon: a qualitative study","Elit, Lorraine; Ngalla, Calvin; Afugchwi, Glen Mbah; Tum, Eric; Domgue, Joel Fokom; Nouvet, Elysee",BMJ Open,2022,
Branch Block After Transcatheter Aortic Valve,"Tsushima, Takahiro; Main, Anthony; Al-Kindi, Sadeer; Dallan, Luis Augusto Palma; Wheat, Heather L.; Baeza, Cristian R.; Pelletier, Marc P.; Arruda, Mauricio S.; Mackall, Judith A.; Thal, Sergio G.; Ohno, Yohei; Lee, Kyong-Hee; Siqueira, Dimytri A.; Kaneko, Tsuyoshi; Harloff, Morgan T.; Costa, Giuliano; Barbanti, Marco; Attizzani, Guilherme F.",American Journal Of Cardiology,2022,
CaV2.1 channel mutations causing familial hemiplegic migraine type 1 increase the susceptibility for cortical spreading depolarizations and seizures and worsen outcome after experimental traumatic brain injury,"Terpollili, N. A.; Dolp, R.; Waehner, K.; Schwarzmaier, S. M.; Rumbler, E.; Todorov, B.; Ferrari, M. D.; van den Maagdenberg, AMJM; Plesnila, N.",eLife,2022,
Characteristics and clinical differences of breast cancer patients with negative or low HER2 expression,"Voutsadakis, Ioannis; Rosso, Christopher",Cancer Research,2022,
"Characterization of invasive meningococcal disease case isolates in Atlantic Canada, 2014 to 2020: spatial-temporal variations of clones and predicted meningococcal B vaccine coverage","Tsang, Raymond S. W.; Law, Dennis K. S.; Zhou, Jianwei; Haldane, David; Garceau, Richard; Zahariadis, George; Mead, Kristen; Alexander, David",Journal Of Medical Microbiology,2022,
Citation Analysis in Breast Reconstruction Publications Between 2000 and 2010 L'analyse des citations des publications sur la reconstruction mammaire entre 2000 et 2010,"Miller, R.; Macadam, S.; Demsey, D.",Plastic Surgery,2022,
Current Visual Acuity and Refractive Errors among Indigenous Children in Northern Canada,"Sabri, K.; Jindani, Y.; De Melo, M.; Innes, E.; Kioke, S.",Investigative Ophthalmology & Visual Science,2022,
Description of the algorithms for testing the horizontal jump in a computerized testing system of gross motor skills,"Moraes, Arina Braganca; Chebbi, Brahim; Tremblay, Line; Thorpe, Moriah; Theriault, Francis",Transactions Of The Canadian Society For Mechanical Engineering,2022,
Double chimney stenting and triple kissing balloon inflation to prevent coronary obstruction during valve-in-valve TAVI with balloon valve fracture,"Ali, N.; Alnasser, S.; Latter, D.; Peterson, M. D.; Fam, N. P.",Eurointervention,2022,
Effect of 18F-DCFPyL PET/CT on the Management of Patients with Recurrent Prostate Cancer: Results of a Prospective Multicenter Registry Trial,"Metser, U.; Zukotynski, K.; Mak, V.; Langer, D.; MacCrostie, P.; Finelli, A.; Kapoor, A.; Chin, J.; Lavallée, L.; Klotz, L. H.; Hagerty, M.; Hildebrand, C.; Bauman, G.",Radiology,2022,
"Epidemiology of invasive Haemophilus influenzae serotype a disease in the North American Arctic, 2006-2017","Zulz, Tammy; Huang, Grace; Rudolph, Karen; DeByle, Carolynn; Tsang, Raymond; Desai, Shalini; Massey, Stephanie; Bruce, Michael G.",International Journal Of Circumpolar Health,2022,
Genome-wide Sequencing Ontario (GSO): An implementation pilot to improve rare disease diagnostics,"Marshall, Christian; Gillespie, Meredith; Szuto, Anna; Chisholm, Caitlin; Stavropoulos, James; Venkataramanan, Viji; Tsiplova, Kate; Price, Magda; Lau, Lynette; Khan, Reem; Lee, Whiwon; Huang, Lijia; Jarinova, Olga; Sawyer, Sarah; Ungar, Wendy; Mendoza, Roberto; Hayeems, Robin; Somerville, Martin; Boycott, Kym",Genetics In Medicine,2022,
Immediate versus delayed sequential bilateral cataract surgery in children: a cost-effectiveness analysis,"Cernat, A.; Jamieson, M.; Kavelaars, R.; Khalili, S.; Bhambhwani, V.; Mireskandari, K.; Moretti, M. E.",British Journal Of Ophthalmology,2022,
Implementation of Competency-Based Medical Education in a Canadian Medical Oncology Training Program: a First Year Retrospective Review,"Tomiak, A.; Linford, G.; McDonald, M.; Willms, J.; Hammad, N.",Journal Of Cancer Education,2022,
"Luminal Mucus Plugs Are Spatially Associated With Airway Wall Thickening In Severe COPD And Asthma: A Single-Centered, Retrospective, Observational Study","Tran, C.; Singh, G. V.; Haider, E.; Boylan, C.; Venegas, C.; Riaz, S.; Al Duwaiki, S.; Yehia, M.; Ho, T.; Nair, P.; Svenningsen, S.; Kirby, M.",Respiratory Medicine,2022,
Neurological susceptibility to environmental exposures: pathophysiological mechanisms in neurodegeneration and multiple chemical sensitivity,"Molot, John; Sears, Margaret; Marshall, Lynn Margaret; Bray, Riina, I.",Reviews On Environmental Health,2022,
Older Age and Frailty are Associated with Higher Mortality but Lower ICU Admission with COVID-19,"Andrew, Melissa K.; Godin, Judith; LeBlanc, Jason; Boivin, Guy; Valiquette, Louis; McGeer, Allison; McElhaney, Janet E.; Hatchette, Todd F.; ElSherif, May; MacKinnon-Cameron, Donna; Wilson, Kevin; Ambrose, Ardith; Trottier, Sylvie; Loeb, Mark; Smith, Stephanie W.; Katz, Kevin; McCarthy, Anne; McNeil, Shelly A.",Canadian Geriatrics Journal,2022,
Outcomes Following Gender Affirming Phalloplasty: A Systematic Review and Meta-Analysis,"Wang, AMQ; Tsang, V.; Mankowski, P.; Demsey, D.; Kavanagh, A.; Genoway, K.",Sexual Medicine Reviews,2022,
Page Kidneys,"Min, A.; Ditkofsky, N.",New England Journal Of Medicine - NEJM,2022,
Periop-01: A randomized controlled trial of extended perioperative tinzaparin to improve disease-free survival in patients with resectable colorectal cancer,"Auer, Rebecca Ann C.; Karanicolas, Paul Jack; Ott, Michael; Brackstone, Muriel; Ashamalla, Shady; Asmis, Timothy R.; Boutros, Marylise; Marulanda, Antonio Caycedo; Jayaraman, Shiva; Jonker, Derek J.; Moloo, Husein; Patel, Sunil; Spadafora, Silvana; MacLellan, Steven; Mallick, Ranjeeta; Stotland, Peter; Tagalakis, Vicky; Trottier, Daniel C.; Weaver, Joel; Carrier, Marc",Journal Of Clinical Oncology,2022,
Physician experiences with medical assistance in dying,"Kortes-Miller, K.; Durant, K. L.",Canadian Family Physician,2022,
Pixies in a windstorm: Tracing Australian gymnasts' stories of athlete maltreatment through media data,"Seanor, M. E.; Giffin, C. E.; Schinke, R. J.; Coholic, D. A.; Larivière, M.",Sport In Society,2022,
Reflecting on conceptualisations of 'meaning' in occupational therapy,"Kiepek, Niki; Beagan, Brenda; Patten, San; Ausman, Christine",Cadernos Brasileiros De Terapia Ocupacional - Brazilian Journal Of Occupational Therapy,2022,
"Residents' transformational changes through self-regulated, experiential learning for professionalism","de Groot, Janet, M.; Kassam, Aliya; Swystun, Dana; Topps, Maureen",Canadian Medical Education Journal,2022,
Sex-Specific Differences in Clinical Outcomes After Percutaneous Coronary Intervention: Insights from the TAILOR-PCI Trial,"Madan, Mina; Abbott, J. D.; Lennon, Ryan; So, Derek Y. F.; MacDougall, Andrea M.; McLaughlin, Mary Ann; Murthy, Vishakantha; Saw, Jacqueline; Rihal, Charanjit; Farkouh, Michael E.; Pereira, Naveen L.; Goodman, Shaun G.",Journal Of The American Heart Association,2022,
"Study protocol for assessing knowledge, attitudes and belief towards HPV vaccination of parents with children aged 9-14 years in rural communities of North West Cameroon: a qualitative study","Elit, Lorraine; Ngalla, Calvin; Afugchwi, Glen Mbah; Tum, Eric; Fokom-Domgue, Joel; Nouvet, Elysee",BMJ Open,2022,
Substance use and meaning: transforming occupational participation and experience,"Kiepek, Niki; Ausman, Christine; Beagan, Brenda; Patten, San",Cadernos Brasileiros De Terapia Ocupacional - Brazilian Journal Of Occupational Therapy,2022,
Suggested strategies to reduce the carbon footprint of anesthetic gases in the operating room,"Caycedo-Marulanda, Antonio; Mathur, Sanjiv",Canadian Journal Of Anesthesia - Journal Canadien D Anesthesie,2022,
Suicide amongst young Inuit males: The perspectives of Inuit health and wellness workers in Nunavik,"Af Fleck, William; Oliffe, John L.; Inukpuk, Martha Malaya; Tempier, Raymond; Darroch, Francine; Crawford, Allison; Seguin, Monique S.",SSM - Qualitative Research In Health,2022,
Textbook Outcome and Survival in Patients With Gastric Cancer An Analysis of the Population Registry of Esophageal and Stomach Tumours in Ontario (PRESTO),"Levy, Jordan; Gupta, Vaibhav; Amirazodi, Elmira; Allen-Ayodabo, Catherine; Jivraj, Naheed; Jeong, Yunni; Davis, Laura E.; Mahar, Alyson L.; De Mestral, Charles; Saarela, Olli; Coburn, Natalie G.; Grp, PRESTO",Annals Of Surgery,2022,
Understanding palliative care learning: A narrative inquiry exploring health care professionals' memorable experiences,"Kilbertus, Frances; King, Keely; Robinson, Susan; Cristancho, Sayra; Burm, Sarah",SSM - Qualitative Research In Health,2022,
Very Low Birthweight Preterm Infants: A 2020 Evidence Analysis Center Evidence-Based Nutrition Practice Guideline,"Fenton, Tanis R.; Griffin, Ian J.; Groh-Wargo, Sharon; Gura, Kathleen; Martin, Camilia R.; Taylor, Sarah N.; Rozga, Mary; Moloney, Lisa",Journal Of The Academy Of Nutrition And Dietetics,2022,
Wellness in the Face of Frailty Among Older Adults in First Nations Communities,"Slater, Morgan; Bruser, Gabrielle; Sutherland, Roseanne; Andrew, Melissa K.; Warry, Wayne; Jacklin, Kristen M.; Walker, Jennifer D.",Journal Of Aging And Health,2022,
Where do rural family medicine residents in Canada train?,"Ellaway, Rachel H.; Topps, Maureen; Kearney, Ramona; Hartford, Wendy; Bates, Joanna",Canadian Family Physician,2022,
A Machine Learning Algorithm to Identify Patients at Risk of Unplanned Subsequent Surgery After Intramedullary Nailing for Tibial Shaft Fractures,"Bhandari, Mohit; Bulstra, Anne Eva J.; Bzovsky, Sofia; Doornberg, Job N.; Goslings, J. C.; Hendrickx, Laurent A. M.; Jaarsma, Ruurd L.; Jeray, Kyle J.; Kerkhoffs, Gino M. M. J.; Petrisor, Brad; Ring, David; Schemitsch, Emil H.; Swiontkowski, Marc; Sanders, David; Sprague, Sheila; Tornetta, Paul, I., II; Walter, Stephen D.; Heels-Ansdell, Diane; Buckingham, Lisa; Leece, Pamela; Viveiros, Helena; Mignott, Tashay; Ansell, Natalie; Sidorkewicz, Natalie; Agel, Julie; Bombardier, Claire; Berlin, Jesse A.; Bosse, Michael; Browner, Bruce; Gillespie, Brenda; Jones, Alan; O'Brien, Peter; Poolman, Rudolf; Macleod, Mark D.; Carey, Timothy; Leitch, Kellie; Bailey, Stuart; Gurr, Kevin; Konito, Ken; Bartha, Charlene; Low, Isolina; MacBean, Leila, V.; Ramu, Mala; Reiber, Susan; Strapp, Ruth; Tieszer, Christina; Kreder, Hans J.; Stephen, David J. G.; Axelrod, Terry S.; Yee, Albert J. M.; Richards, Robin R.; Finkelstein, Joel; Gofton, Wade; Murnaghan, John; Schatztker, Joseph; Ford, Michael; Bulmer, Beverly; Conlan, Lisa; Laflamme, G. Y.; Berry, Gregory; Beaumont, Pierre; Ranger, Pierre; Laflamme, Georges-Henri; Gagnon, Sylvain; Malo, Michel; Fernandes, Julio; Poirier, Marie-France; McKee, Michael D.; Waddell, James P.; Bogoch, Earl R.; Daniels, Timothy R.; McBroom, Robert R.; Vicente, Milena R.; Storey, Wendy; Wild, Lisa M.; McCormack, Robert; Perey, Bertrand; Goetz, Thomas J.; Pate, Graham; Penner, Murray J.; Panagiotopoulos, Kostas; Pirani, Shafique; Dommisse, Ian G.; Loomer, Richard L.; Stone, Trevor; Moon, Karyn; Zomar, Mauri; Webb, Lawrence X.; Teasdall, Robert D.; Birkedal, John Peter; Martin, David Franklin; Ruch, David S.; Kilgus, Douglas J.; Pollock, David C.; Harris, Mitchel Brion; Wiesler, Ethan Ron; Ward, William G.; Shilt, Jeffrey Scott; Koman, Andrew L.; Poehling, Gary G.; Kulp, Brenda; Creevy, William R.; Stein, Andrew B.; Bono, Christopher T.; Einhorn, Thomas A.; Brown, T. D.; Pacicca, Donna; Sledge, John B., I., II; Foster, Timothy E.; Voloshin, Ilva; Bolton, Jill; Carlisle, Hope; Shaughnessy, Lisa; Obremskey, William T.; LeCroy, C. M.; Meinberg, Eric G.; Messer, Terry M.; Craig, William L., I., II; Dirschl, Douglas R.; Caudle, Robert; Harris, Tim; Elhert, Kurt; Hage, William; Jones, Robert; Piedrahita, Luis; Schricker, Paul O.; Driver, Robin; Godwin, Jean; Kregor, Philip James; Tennent, Gregory; Truchan, Lisa M.; Sciadini, Marcus; Shuler, Franklin D.; Driver, Robin E.; Nading, Mary Alice; Neiderstadt, Jacky; Vap, Alexander R.; Vallier, Heather; Patterson, Brendan M.; Wilber, John H.; Wilber, Roger G.; Sontich, John K.; Moore, Timothy Alan; Brady, Drew; Cooperman, Daniel R.; Davis, John A.; Cureton, Beth Ann; Mandel, Scott; Orr, R. D.; Sadler, John T. S.; Hussain, Tousief; Rajaratnam, Krishan; Petrisor, Bradley; Drew, Brian; Bednar, Drew A.; Kwok, Desmond C. H.; Pettit, Shirley; Hancock, Jill; Cole, Peter A.; Smith, Joel J.; Brown, Gregory A.; Lange, Thomas A.; Stark, John G.; Levy, Bruce A.; Garaghty, Mary J.; Salzman, Joshua G.; Schutte, Carol A.; Tastad, Linda; Vang, Sandy; Seligson, David; Roberts, Craig S.; Malkani, Arthur L.; Sanders, Laura; Dyer, Carmen; Heinsen, Jessica; Smith, Langan; Madanagopal, Sudhakar; Frantz-Bush, Linda; Coupe, Kevin J.; Tucker, Jeffrey J.; Criswell, Allen R.; Buckle, Rosemary; Rechter, Alan Jeffrey; Sheth, Dhiren Shaskikant; Urquart, Brad; Trotscher, Thea; Anders, Mark J.; Kowalski, Joseph M.; Fineberg, Marc S.; Bone, Lawrence B.; Phillips, Matthew J.; Rohrbacher, Bernard; Stegemann, Philip; Mihalko, William M.; Buyea, Cathy; Augustine, Stephen J.; Jackson, William Thomas; Solis, Gregory; Ero, Sunday U.; Segina, Daniel N.; Berrey, Hudson B.; Agnew, Samuel G.; Fitzpatrick, Michael; Campbell, Lakina C.; Derting, Lynn; McAdams, June; Goslings, J. C.; Ponsen, Kees Jan; Luitse, Jan; Kloen, Peter; Joosse, Pieter; Winkelhagen, Jasper; Duivenvoorden, Raphael; Teague, David C.; Davey, Joseph; Sullivan, J. A.; Ertl, William J. J.; Puckett, Timothy A.; Pasque, Charles B.; Tompkins, John F., , II; Gruel, Curtis R.; Kammerlocher, Paul; Lehman, Thomas P.; Puffinbarger, William R.; Carl, Kathy L.; Weber, Donald W.; Jomha, Nadr M.; Goplen, Gordon R.; Masson, Edward; Beaupre, Lauren A.; Greaves, Karen E.; Schaump, Lori N.; Goetz, David R.; Westberry, David E.; Broderick, J. S.; Moon, Bryan S.; Tanner, Stephanie L.; Powell, James N.; Buckley, Richard E.; Elves, Leslie; Connolly, Stephen; Abraham, Edward P.; Steele, Trudy; Ellis, Thomas; Herzberg, Alex; Brown, George A.; Crawford, Dennis E.; Hart, Robert; Hayden, James; Orfaly, Robert M.; Vigland, Theodore; Vivekaraj, Maharani; Bundy, Gina L.; Miclau, Theodore, I., II; Matityahu, Amir; Coughlin, R. R.; Kandemir, Utku; McClellan, R. T.; Lin, Cindy Hsin-Hua; Karges, David; Cramer, Kathryn; Watson, J. T.; Moed, Berton; Scott, Barbara; Beck, Dennis J.; Orth, Carolyn; Puskas, David; Clark, Russell; Jones, Jennifer; Egol, Kenneth A.; Paksima, Nader; France, Monet; Wai, Eugene K.; Johnson, Garth; Wilkinson, Ross; Gruszczynski, Adam T.; Vexler, Lisa; Mallee, Wouter H.; Schipper, Inger B.; Investigators, SPRINT",Journal Of Orthopaedic Trauma,2021,
"A retrospective observational population-based study to assess the prevalence and burden of illness of type 2 diabetes with an estimated glomerular filtration rate 2 in Ontario, Canada","Rapattoni, Wally; Zante, David; Tomas, Marko; Myageri, Varun; Golden, Shane; Grover, Prerna; Tehrani, Ali; Millson, Brad; Tobe, Sheldon W.; Rose, Jennifer B.",Diabetes Obesity & Metabolism,2021,
A systematic review and meta-analysis of hormone receptor expression in low-grade serous ovarian carcinoma,"Voutsadakis, Ioannis A.",European Journal Of Obstetrics & Gynecology And Reproductive Biology,2021,
A Wireless Wearable Doppler Ultrasound Detects Changing Stroke Volume: Proof-of-Principle Comparison with Trans-Esophageal Echocardiography during Coronary Bypass Surgery,"Kenny, JES; Clarke, G.; Myers, M.; Elfarnawany, M.; Eibl, A. M.; Eibl, J. K.; Nalla, B.; Atoui, R.",Bioengineering-Basel,2021,
